Match Id,Match Date,Match YYMMDD,Match Type,Season,Series,Day/Night,Venue,TeamA At Home,TeamB At Home,Team Batting At Home,Team Bowling At Home,Toss Won By Team,Toss Won By Batting Team,Toss Decision,TeamA 1st Comparison,TeamA Result,Team Batting,Team Bowling,Innings,Day,Session,Time of Day (Hour),Time of Day (Min),Time of Day,Striker Id,Striker,Striker Hand,Non Striker,Non Striker Hand,Bowler Id,Bowler,Bowler Hand,Pace / Spin,Bowler Style,Spell,Over The Wicket,Northern End,Over,Ball In Over,Fair Ball In Over,Ball Speed,Ball RPM,Pitch X,Pitch Y,At Batter X,At Batter Y,Hit To Len,Hit To Angle,Bat Score,ReachedBoundary,Wides,Noballs,Byes,Legbyes,Penalty Runs,Taken By WK,Batter Out,How Out,TeamA,TeamB,TeamBattingMatchInnings1,TeamBattingMatchInnings2,TeamBattingMatchInnings3,TeamBattingMatchInnings4,MatchInnings,TeamB Result,Team Batting Result,Team Bowling Result,Inside Edge,Outside Edge,Play and Miss,Hit on Pads,Hit on Head,Hit on Body,Contact Error,Opportunity,Appeal,Bowler Variation,Batter Movement,Sweep Shot,Ramp or Paddle Shot,Reverse or Switch Shot,Injury Striker Head,Injury Striker Other,Injury Non Striker Head,Injury Non Striker Other,Injury Bowler Head,Injury Bowler Other,Event Grade,Event Infield,Pitch X Coded,Pitch Y Coded,At Batter X Coded,At Batter Y Coded,Catch,Catch Assist,Dropped Catch,Runout,Runout Assist
1070558,18-Sep-2012,20120918,4 Day,2012-13,Domestic 1st Class M,N,WACA Ground,Y,N,N,Y,NSW (M),Y,To Bowl,3,Lost Outright,NSW (M),WA (M),1,1,3,17,36,17:36,2960002,"Nevill, Peter",Right,"Henry, Scott",Left,700011,"Johnson, Mitchell",Left,Pace,Fast,1,Y,N,1,1,1,,,281,5716,629,643,0,0,0,N,0,0,0,0,0,Y,,,WA (M),NSW (M),WA (M),NSW (M),WA (M),NSW (M),2,Won Outright,Won Outright,Lost Outright,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,281,5716,629,643,N,N,N,N,N
1070558,18-Sep-2012,20120918,4 Day,2012-13,Domestic 1st Class M,N,WACA Ground,Y,N,N,Y,NSW (M),Y,To Bowl,3,Lost Outright,NSW (M),WA (M),1,1,3,17,37,17:37,2960002,"Nevill, Peter",Right,"Henry, Scott",Left,700011,"Johnson, Mitchell",Left,Pace,Fast,1,Y,N,1,2,2,,,515,1376,367,64,37,82,0,N,0,0,0,0,0,N,,,WA (M),NSW (M),WA (M),NSW (M),WA (M),NSW (M),2,Won Outright,Won Outright,Lost Outright,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,Y,515,1376,367,64,N,N,N,N,N
1070558,18-Sep-2012,20120918,4 Day,2012-13,Domestic 1st Class M,N,WACA Ground,Y,N,N,Y,NSW (M),Y,To Bowl,3,Lost Outright,NSW (M),WA (M),1,1,3,17,38,17:38,2960002,"Nevill, Peter",Right,"Henry, Scott",Left,700011,"Johnson, Mitchell",Left,Pace,Fast,1,Y,N,1,3,3,,,324,6354,578,710,0,0,0,N,0,0,0,0,0,Y,,,WA (M),NSW (M),WA (M),NSW (M),WA (M),NSW (M),2,Won Outright,Won Outright,Lost Outright,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,324,6354,578,710,N,N,N,N,N
1070558,18-Sep-2012,20120918,4 Day,2012-13,Domestic 1st Class M,N,WACA Ground,Y,N,N,Y,NSW (M),Y,To Bowl,3,Lost Outright,NSW (M),WA (M),1,1,3,17,38,17:38,2960002,"Nevill, Peter",Right,"Henry, Scott",Left,700011,"Johnson, Mitchell",Left,Pace,Fast,1,Y,N,1,4,4,,,47,3758,13,448,60,-98,2,N,0,0,0,0,0,N,,,WA (M),NSW (M),WA (M),NSW (M),WA (M),NSW (M),2,Won Outright,Won Outright,Lost Outright,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,47,3758,13,448,N,N,N,N,N
1070558,18-Sep-2012,20120918,4 Day,2012-13,Domestic 1st Class M,N,WACA Ground,Y,N,N,Y,NSW (M),Y,To Bowl,3,Lost Outright,NSW (M),WA (M),1,1,3,17,39,17:39,2960002,"Nevill, Peter",Right,"Henry, Scott",Left,700011,"Johnson, Mitchell",Left,Pace,Fast,1,Y,N,1,5,5,,,175,5120,279,509,21,153,0,N,0,0,0,0,0,N,,,WA (M),NSW (M),WA (M),NSW (M),WA (M),NSW (M),2,Won Outright,Won Outright,Lost Outright,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,Y,175,5120,279,509,N,N,N,N,N
1070558,18-Sep-2012,20120918,4 Day,2012-13,Domestic 1st Class M,N,WACA Ground,Y,N,N,Y,NSW (M),Y,To Bowl,3,Lost Outright,NSW (M),WA (M),1,1,3,17,40,17:40,2960002,"Nevill, Peter",Right,"Henry, Scott",Left,700011,"Johnson, Mitchell",Left,Pace,Fast,1,Y,N,1,6,6,,,749,4865,730,551,0,0,0,N,0,0,0,0,0,Y,,,WA (M),NSW (M),WA (M),NSW (M),WA (M),NSW (M),2,Won Outright,Won Outright,Lost Outright,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,749,4865,730,551,N,N,N,N,N
1070558,18-Sep-2012,20120918,4 Day,2012-13,Domestic 1st Class M,N,WACA Ground,Y,N,N,Y,NSW (M),Y,To Bowl,3,Lost Outright,NSW (M),WA (M),1,1,3,17,41,17:41,970313,"Henry, Scott",Left,"Nevill, Peter",Right,2700112,"Rimmington, Nathan",Right,Pace,Fast-Medium,1,Y,S,2,1,1,,,-47,7460,194,801,9,-22,0,N,0,0,0,0,0,N,,,WA (M),NSW (M),WA (M),NSW (M),WA (M),NSW (M),2,Won Outright,Won Outright,Lost Outright,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,Y,-47,7460,194,801,N,N,N,N,N
1070558,18-Sep-2012,20120918,4 Day,2012-13,Domestic 1st Class M,N,WACA Ground,Y,N,N,Y,NSW (M),Y,To Bowl,3,Lost Outright,NSW (M),WA (M),1,1,3,17,41,17:41,970313,"Henry, Scott",Left,"Nevill, Peter",Right,2700112,"Rimmington, Nathan",Right,Pace,Fast-Medium,1,Y,S,2,2,2,,,783,4950,799,594,0,0,0,N,0,0,0,0,0,Y,,,WA (M),NSW (M),WA (M),NSW (M),WA (M),NSW (M),2,Won Outright,Won Outright,Lost Outright,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,783,4950,799,594,N,N,N,N,N
1070558,18-Sep-2012,20120918,4 Day,2012-13,Domestic 1st Class M,N,WACA Ground,Y,N,N,Y,NSW (M),Y,To Bowl,3,Lost Outright,NSW (M),WA (M),1,1,3,17,42,17:42,970313,"Henry, Scott",Left,"Nevill, Peter",Right,2700112,"Rimmington, Nathan",Right,Pace,Fast-Medium,1,Y,S,2,3,3,,,889,4992,785,600,0,0,0,N,0,0,0,0,0,Y,,,WA (M),NSW (M),WA (M),NSW (M),WA (M),NSW (M),2,Won Outright,Won Outright,Lost Outright,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,889,4992,785,600,N,N,N,N,N
1070558,18-Sep-2012,20120918,4 Day,2012-13,Domestic 1st Class M,N,WACA Ground,Y,N,N,Y,NSW (M),Y,To Bowl,3,Lost Outright,NSW (M),WA (M),1,1,3,17,42,17:42,970313,"Henry, Scott",Left,"Nevill, Peter",Right,2700112,"Rimmington, Nathan",Right,Pace,Fast-Medium,1,Y,S,2,4,4,,,81,5673,164,564,10,-21,0,N,0,0,0,0,0,N,,,WA (M),NSW (M),WA (M),NSW (M),WA (M),NSW (M),2,Won Outright,Won Outright,Lost Outright,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,Y,81,5673,164,564,N,N,N,N,N
1070558,18-Sep-2012,20120918,4 Day,2012-13,Domestic 1st Class M,N,WACA Ground,Y,N,N,Y,NSW (M),Y,To Bowl,3,Lost Outright,NSW (M),WA (M),1,1,3,17,43,17:43,970313,"Henry, Scott",Left,"Nevill, Peter",Right,2700112,"Rimmington, Nathan",Right,Pace,Fast-Medium,1,Y,S,2,5,5,,,81,5716,263,624,0,0,0,N,0,0,0,0,0,Y,,,WA (M),NSW (M),WA (M),NSW (M),WA (M),NSW (M),2,Won Outright,Won Outright,Lost Outright,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,81,5716,263,624,N,N,N,N,N
1070558,18-Sep-2012,20120918,4 Day,2012-13,Domestic 1st Class M,N,WACA Ground,Y,N,N,Y,NSW (M),Y,To Bowl,3,Lost Outright,NSW (M),WA (M),1,2,1,9,31,09:31,970313,"Henry, Scott",Left,"Nevill, Peter",Right,2700112,"Rimmington, Nathan",Right,Pace,Fast-Medium,2,Y,S,2,6,6,,,-134,7077,-141,878,74,-102,2,N,0,0,0,0,0,N,,,WA (M),NSW (M),WA (M),NSW (M),WA (M),NSW (M),2,Won Outright,Won Outright,Lost Outright,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,-134,7077,-141,878,N,N,N,N,N
1070558,18-Sep-2012,20120918,4 Day,2012-13,Domestic 1st Class M,N,WACA Ground,Y,N,N,Y,NSW (M),Y,To Bowl,3,Lost Outright,NSW (M),WA (M),1,2,1,9,32,09:32,2960002,"Nevill, Peter",Right,"Henry, Scott",Left,1300014,"Beer, Michael",Left,Spin,Orthodox,1,N,N,3,1,1,,,217,4567,109,509,11,41,0,N,0,0,0,0,0,N,,,WA (M),NSW (M),WA (M),NSW (M),WA (M),NSW (M),2,Won Outright,Won Outright,Lost Outright,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,Y,217,4567,109,509,N,N,N,N,N
1070558,18-Sep-2012,20120918,4 Day,2012-13,Domestic 1st Class M,N,WACA Ground,Y,N,N,Y,NSW (M),Y,To Bowl,3,Lost Outright,NSW (M),WA (M),1,2,1,9,32,09:32,2960002,"Nevill, Peter",Right,"Henry, Scott",Left,1300014,"Beer, Michael",Left,Spin,Orthodox,1,N,N,3,2,2,,,281,4652,188,466,11,25,0,N,0,0,0,0,0,N,,,WA (M),NSW (M),WA (M),NSW (M),WA (M),NSW (M),2,Won Outright,Won Outright,Lost Outright,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,Y,281,4652,188,466,N,N,N,N,N
1070558,18-Sep-2012,20120918,4 Day,2012-13,Domestic 1st Class M,N,WACA Ground,Y,N,N,Y,NSW (M),Y,To Bowl,3,Lost Outright,NSW (M),WA (M),1,2,1,9,33,09:33,2960002,"Nevill, Peter",Right,"Henry, Scott",Left,1300014,"Beer, Michael",Left,Spin,Orthodox,1,N,N,3,3,3,,,324,4652,267,484,30,50,0,N,0,0,0,0,0,N,,,WA (M),NSW (M),WA (M),NSW (M),WA (M),NSW (M),2,Won Outright,Won Outright,Lost Outright,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,Y,324,4652,267,484,N,N,N,N,N
1070558,18-Sep-2012,20120918,4 Day,2012-13,Domestic 1st Class M,N,WACA Ground,Y,N,N,Y,NSW (M),Y,To Bowl,3,Lost Outright,NSW (M),WA (M),1,2,1,9,33,09:33,2960002,"Nevill, Peter",Right,"Henry, Scott",Left,1300014,"Beer, Michael",Left,Spin,Orthodox,1,N,N,3,4,4,,,132,5035,139,515,10,-141,0,N,0,0,0,0,0,N,,,WA (M),NSW (M),WA (M),NSW (M),WA (M),NSW (M),2,Won Outright,Won Outright,Lost Outright,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,Y,132,5035,139,515,N,N,N,N,N
1070558,18-Sep-2012,20120918,4 Day,2012-13,Domestic 1st Class M,N,WACA Ground,Y,N,N,Y,NSW (M),Y,To Bowl,3,Lost Outright,NSW (M),WA (M),1,2,1,9,33,09:33,2960002,"Nevill, Peter",Right,"Henry, Scott",Left,1300014,"Beer, Michael",Left,Spin,Orthodox,1,N,N,3,5,5,,,196,2695,206,387,7,-6,0,N,0,0,0,0,0,N,,,WA (M),NSW (M),WA (M),NSW (M),WA (M),NSW (M),2,Won Outright,Won Outright,Lost Outright,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,Y,196,2695,206,387,N,N,N,N,N
1070558,18-Sep-2012,20120918,4 Day,2012-13,Domestic 1st Class M,N,WACA Ground,Y,N,N,Y,NSW (M),Y,To Bowl,3,Lost Outright,NSW (M),WA (M),1,2,1,9,34,09:34,2960002,"Nevill, Peter",Right,"Henry, Scott",Left,1300014,"Beer, Michael",Left,Spin,Orthodox,1,N,N,3,6,6,,,430,5290,456,582,0,0,0,N,0,0,0,0,0,Y,,,WA (M),NSW (M),WA (M),NSW (M),WA (M),NSW (M),2,Won Outright,Won Outright,Lost Outright,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,430,5290,456,582,N,N,N,N,N
1070558,18-Sep-2012,20120918,4 Day,2012-13,Domestic 1st Class M,N,WACA Ground,Y,N,N,Y,NSW (M),Y,To Bowl,3,Lost Outright,NSW (M),WA (M),1,2,1,9,35,09:35,970313,"Henry, Scott",Left,"Nevill, Peter",Right,700011,"Johnson, Mitchell",Left,Pace,Fast,2,Y,S,4,1,1,,,464,7247,96,874,13,59,0,N,0,0,0,0,0,N,,,WA (M),NSW (M),WA (M),NSW (M),WA (M),NSW (M),2,Won Outright,Won Outright,Lost Outright,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,Y,464,7247,96,874,N,N,N,N,N
1070558,18-Sep-2012,20120918,4 Day,2012-13,Domestic 1st Class M,N,WACA Ground,Y,N,N,Y,NSW (M),Y,To Bowl,3,Lost Outright,NSW (M),WA (M),1,2,1,9,35,09:35,970313,"Henry, Scott",Left,"Nevill, Peter",Right,700011,"Johnson, Mitchell",Left,Pace,Fast,2,Y,S,4,2,2,,,272,5035,325,444,0,0,0,N,0,0,0,0,0,Y,,,WA (M),NSW (M),WA (M),NSW (M),WA (M),NSW (M),2,Won Outright,Won Outright,Lost Outright,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,272,5035,325,444,N,N,N,N,N
1070558,18-Sep-2012,20120918,4 Day,2012-13,Domestic 1st Class M,N,WACA Ground,Y,N,N,Y,NSW (M),Y,To Bowl,3,Lost Outright,NSW (M),WA (M),1,2,1,9,36,09:36,970313,"Henry, Scott",Left,"Nevill, Peter",Right,700011,"Johnson, Mitchell",Left,Pace,Fast,2,Y,S,4,3,3,,,230,7077,364,929,0,0,0,N,0,0,0,0,0,Y,,,WA (M),NSW (M),WA (M),NSW (M),WA (M),NSW (M),2,Won Outright,Won Outright,Lost Outright,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,230,7077,364,929,N,N,N,N,N
1070558,18-Sep-2012,20120918,4 Day,2012-13,Domestic 1st Class M,N,WACA Ground,Y,N,N,Y,NSW (M),Y,To Bowl,3,Lost Outright,NSW (M),WA (M),1,2,1,9,37,09:37,970313,"Henry, Scott",Left,"Nevill, Peter",Right,700011,"Johnson, Mitchell",Left,Pace,Fast,2,Y,S,4,4,4,,,378,6354,511,673,0,0,0,N,0,0,0,0,0,Y,,,WA (M),NSW (M),WA (M),NSW (M),WA (M),NSW (M),2,Won Outright,Won Outright,Lost Outright,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,378,6354,511,673,N,N,N,N,N
1070558,18-Sep-2012,20120918,4 Day,2012-13,Domestic 1st Class M,N,WACA Ground,Y,N,N,Y,NSW (M),Y,To Bowl,3,Lost Outright,NSW (M),WA (M),1,2,1,9,37,09:37,970313,"Henry, Scott",Left,"Nevill, Peter",Right,700011,"Johnson, Mitchell",Left,Pace,Fast,2,Y,S,4,5,5,,,485,6354,170,752,0,0,0,N,0,0,0,0,0,Y,,,WA (M),NSW (M),WA (M),NSW (M),WA (M),NSW (M),2,Won Outright,Won Outright,Lost Outright,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,485,6354,170,752,N,N,N,N,N
